DATE_TIME,Solar_AC_Power,National Hourly Demand
2020-05-25 22:00:00,0.0,161437.2
2020-05-25 23:00:00,0.0,161721.47
2020-05-26 00:00:00,0.0,159358.41
2020-05-26 01:00:00,0.0,156662.83
2020-05-26 02:00:00,0.0,152993.62
2020-05-26 03:00:00,0.0,150224.64
2020-05-26 04:00:00,0.0,148864.55
2020-05-26 05:00:00,0.0,148733.95
2020-05-26 06:00:00,1294.7821428571428,148978.2
2020-05-26 07:00:00,5511.892738095237,149768.94
2020-05-26 08:00:00,11215.93761904762,150648.48
2020-05-26 09:00:00,15695.64488095238,152920.15
2020-05-26 10:00:00,16480.77357142857,155225.42
2020-05-26 11:00:00,16485.300833333335,156307.72
2020-05-26 12:00:00,15782.75,156987.76
2020-05-26 13:00:00,15828.074523809524,158017.14
2020-05-26 14:00:00,16532.46880952381,162593.48
2020-05-26 15:00:00,13778.583214285714,165218.26
2020-05-26 16:00:00,9336.055476190477,162673.47
2020-05-26 17:00:00,2484.548333333333,153283.1
2020-05-26 18:00:00,443.9960714285714,142437.95
2020-05-26 19:00:00,0.0,148093.42
2020-05-26 20:00:00,0.0,152413.24
2020-05-26 21:00:00,0.0,156725.03
2020-05-26 22:00:00,0.0,161560.51
2020-05-26 23:00:00,0.0,161594.91
2020-05-27 00:00:00,0.0,159158.95
2020-05-27 01:00:00,0.0,155714.92
2020-05-27 02:00:00,0.0,152104.83
2020-05-27 03:00:00,0.0,149577.3
2020-05-27 04:00:00,0.0,148242.69
2020-05-27 05:00:00,0.0,148057.1
2020-05-27 06:00:00,1097.8195238095236,148027.79
2020-05-27 07:00:00,4865.009166666667,148510.1
2020-05-27 08:00:00,10295.843214285715,148718.02
2020-05-27 09:00:00,12533.76619047619,151965.37
2020-05-27 10:00:00,10472.90119047619,153448.39
2020-05-27 11:00:00,9569.047857142858,155401.17
2020-05-27 12:00:00,10195.928333333333,156701.78
2020-05-27 13:00:00,10532.927023809525,157701.33
2020-05-27 14:00:00,12082.767142857143,160627.93
2020-05-27 15:00:00,13311.98238095238,162339.9
2020-05-27 16:00:00,9155.174880952381,159022.43
2020-05-27 17:00:00,3986.8025,149431.58
2020-05-27 18:00:00,766.5717857142857,138983.68
2020-05-27 19:00:00,0.0,142757.04
2020-05-27 20:00:00,0.0,148114.48
2020-05-27 21:00:00,0.0,151388.53
2020-05-27 22:00:00,0.0,154518.5
2020-05-27 23:00:00,0.0,154059.73
2020-05-28 00:00:00,0.0,150025.72
2020-05-28 01:00:00,0.0,146503.84
2020-05-28 02:00:00,0.0,142660.63
2020-05-28 03:00:00,0.0,140367.42
2020-05-28 04:00:00,0.0,139243.5
2020-05-28 05:00:00,0.0,139809.98
2020-05-28 06:00:00,1027.8890476190477,141083.85
2020-05-28 07:00:00,5232.764166666667,142478.37
2020-05-28 08:00:00,11132.234761904761,143631.79
2020-05-28 09:00:00,15561.284166666666,146214.98
2020-05-28 10:00:00,13494.116547619047,147618.56
2020-05-28 11:00:00,13285.98261904762,149100.79
2020-05-28 12:00:00,13560.280119047618,150717.88
2020-05-28 13:00:00,8677.574047619048,152570.03
2020-05-28 14:00:00,11502.790805860805,157441.83
2020-05-28 15:00:00,14735.887261904762,158310.42
2020-05-28 16:00:00,8950.379047619048,153061.98
2020-05-28 17:00:00,4020.75260989011,141822.17
2020-05-28 18:00:00,753.7838095238095,130608.94
2020-05-28 19:00:00,0.0,135951.93
2020-05-28 20:00:00,0.0,140202.52
2020-05-28 21:00:00,0.0,142543.22
2020-05-28 22:00:00,0.0,144535.68
2020-05-28 23:00:00,0.0,143017.45
2020-05-29 00:00:00,0.0,139957.14
2020-05-29 01:00:00,0.0,137512.29
2020-05-29 02:00:00,0.0,134638.9
2020-05-29 03:00:00,0.0,131426.88
2020-05-29 04:00:00,0.0,130373.37
2020-05-29 05:00:00,0.0,131884.22
2020-05-29 06:00:00,1344.7996428571428,133714.04
2020-05-29 07:00:00,3024.977976190476,136462.34
2020-05-29 08:00:00,9804.325952380952,138673.42
2020-05-29 09:00:00,14577.670714285714,142399.01
2020-05-29 10:00:00,12154.701071428572,145237.14
2020-05-29 11:00:00,10815.353333333333,147535.34
2020-05-29 12:00:00,11796.138809523809,149050.22
2020-05-29 13:00:00,14007.577976190476,150148.21
2020-05-29 14:00:00,13953.909404761904,153855.39
2020-05-29 15:00:00,13798.209606227107,155293.83
2020-05-29 16:00:00,12426.552943722943,151989.09
2020-05-29 17:00:00,5990.476904761905,141751.91
2020-05-29 18:00:00,756.2227380952381,133756.76
2020-05-29 19:00:00,0.0,139228.29
2020-05-29 20:00:00,0.0,141978.22
2020-05-29 21:00:00,0.0,144145.32
2020-05-29 22:00:00,0.0,147659.45
2020-05-29 23:00:00,0.0,145856.04
2020-05-30 00:00:00,0.0,141987.49
2020-05-30 01:00:00,0.0,138286.6
